Date,TH/s
1/3/2009,0
1/4/2009,0
1/5/2009,0
1/6/2009,0
1/7/2009,0
1/8/2009,6.96E-07
1/9/2009,6.96E-07
1/10/2009,5.27E-06
1/11/2009,4.42E-06
1/12/2009,4.42E-06
1/13/2009,6.26E-06
1/14/2009,6.31E-06
1/15/2009,6.31E-06
1/16/2009,5.37E-06
1/17/2009,5.02E-06
1/18/2009,5.02E-06
1/19/2009,5.77E-06
1/20/2009,5.62E-06
1/21/2009,5.62E-06
1/22/2009,3.33E-06
1/23/2009,9.89E-06
1/24/2009,9.89E-06
1/25/2009,5.77E-06
1/26/2009,5.12E-06
1/27/2009,5.12E-06
1/28/2009,6.06E-06
1/29/2009,6.01E-06
1/30/2009,6.01E-06
1/31/2009,5.77E-06
2/1/2009,6.31E-06
2/2/2009,6.31E-06
2/3/2009,6.11E-06
2/4/2009,6.01E-06
2/5/2009,6.01E-06
2/6/2009,6.26E-06
2/7/2009,6.66E-06
2/8/2009,6.66E-06
2/9/2009,6.31E-06
2/10/2009,6.51E-06
2/11/2009,6.51E-06
2/12/2009,6.16E-06
2/13/2009,7.01E-06
2/14/2009,7.01E-06
2/15/2009,6.11E-06
2/16/2009,5.87E-06
2/17/2009,5.87E-06
2/18/2009,5.82E-06
2/19/2009,6.36E-06
2/20/2009,6.36E-06
2/21/2009,6.01E-06
2/22/2009,5.32E-06
2/23/2009,5.32E-06
2/24/2009,5.32E-06
2/25/2009,4.77E-06
2/26/2009,4.77E-06
2/27/2009,5.07E-06
2/28/2009,5.27E-06
3/1/2009,5.27E-06
3/2/2009,5.27E-06
3/3/2009,5.27E-06
3/4/2009,5.27E-06
3/5/2009,5.87E-06
3/6/2009,5.52E-06
3/7/2009,5.52E-06
3/8/2009,5.62E-06
3/9/2009,5.22E-06
3/10/2009,5.22E-06
3/11/2009,5.87E-06
3/12/2009,5.67E-06
3/13/2009,5.67E-06
3/14/2009,5.52E-06
3/15/2009,6.46E-06
3/16/2009,6.46E-06
3/17/2009,5.47E-06
3/18/2009,6.06E-06
3/19/2009,6.06E-06
3/20/2009,3.83E-06
3/21/2009,4.72E-06
3/22/2009,4.72E-06
3/23/2009,5.22E-06
3/24/2009,5.77E-06
3/25/2009,5.77E-06
3/26/2009,5.47E-06
3/27/2009,5.92E-06
3/28/2009,5.92E-06
3/29/2009,6.21E-06
3/30/2009,5.62E-06
3/31/2009,5.62E-06
4/1/2009,5.97E-06
4/2/2009,5.62E-06
4/3/2009,5.62E-06
4/4/2009,6.41E-06
4/5/2009,5.72E-06
4/6/2009,5.72E-06
4/7/2009,5.17E-06
4/8/2009,4.92E-06
4/9/2009,4.92E-06
4/10/2009,6.06E-06
4/11/2009,5.72E-06
4/12/2009,5.72E-06
4/13/2009,6.31E-06
4/14/2009,5.57E-06
4/15/2009,5.57E-06
4/16/2009,5.72E-06
4/17/2009,6.06E-06
4/18/2009,6.06E-06
4/19/2009,5.82E-06
4/20/2009,6.11E-06
4/21/2009,6.11E-06
4/22/2009,3.98E-06
4/23/2009,5.62E-06
4/24/2009,5.62E-06
4/25/2009,5.42E-06
4/26/2009,5.22E-06
4/27/2009,5.22E-06
4/28/2009,6.11E-06
4/29/2009,6.56E-06
4/30/2009,6.56E-06
5/1/2009,6.11E-06
5/2/2009,5.67E-06
5/3/2009,5.67E-06
5/4/2009,6.56E-06
5/5/2009,6.81E-06
5/6/2009,6.81E-06
5/7/2009,6.06E-06
5/8/2009,4.52E-06
5/9/2009,4.52E-06
5/10/2009,5.92E-06
